compute_type,num_workers,batch_size,experiment_type,arrival_rate,num_requests,total_time,successful_requests,average_time_per_request,throughput,average_latency,min_latency,max_latency,latency_90,latency_95,latency_99
default,4,32,constant,,8000,15.89526653289795,8000,0.0019869083166122,503.29448603096046,8.228536984145641,1.4772181510925293,14.994320631027222,13.677150011062622,14.340547561645508,14.95136332511902
default,4,32,poisson,500.0,8000,36.56551241874695,8000,0.0045706890523433,218.7853928692229,7.745882798224687,1.0200223922729492,14.514264583587646,13.186558485031128,13.849129438400269,14.505796194076538
multiple_gpu,4,1,constant,,8000,19.26133894920349,8000,0.0024076673686504,415.3397653765302,9.958385912239551,1.385258436203003,18.306264877319336,16.59326696395874,17.447251558303833,18.13360524177552
multiple_gpu,4,1,poisson,500.0,8000,40.22883319854736,8000,0.0050286041498184,198.8623423532173,9.518892098784448,0.9343852996826172,18.147419929504395,16.370028257369995,17.256733179092407,17.962191104888916
multiple_gpu,4,2,constant,,8000,12.6496000289917,8000,0.0015812000036239,632.4310635644407,6.592512743413448,1.394855499267578,11.690303802490234,10.74942922592163,11.17695927619934,11.609516143798828
multiple_gpu,4,2,poisson,500.0,8000,32.16528058052063,8000,0.004020660072565,248.7153805474596,5.717823842644692,0.9593703746795654,10.408384084701538,9.538673400878906,9.943526029586792,10.326419353485107
multiple_gpu,4,4,constant,,8000,11.034897804260254,8000,0.0013793622255325,724.9727312301371,5.813527888923884,1.434234619140625,10.038533687591553,9.30608296394348,9.721962451934814,9.973117589950562
multiple_gpu,4,4,poisson,500.0,8000,31.427137851715088,8000,0.0039283922314643,254.55706586285305,5.008790603280067,1.0050368309020996,9.011484622955322,8.184845447540283,8.547494173049927,8.928431272506714
multople_gpu,4,8,constant,,8000,9.160247802734377,8000,0.0011450309753417,873.3388192415455,4.798543983519077,1.3323018550872805,8.270209312438965,7.541986703872681,7.91127872467041,8.19538402557373
multiple_gpu,4,8,poisson,500.0,8000,30.03824758529663,8000,0.003754780948162,266.3271210240609,4.488231071174145,0.889700174331665,8.007857322692871,7.259832382202148,7.623758792877197,7.948464393615723
multiple_gpu,4,16,constant,,8000,7.682267665863037,8000,0.0009602834582328,1041.3591855890209,4.188952592134476,1.365041732788086,6.770169734954834,6.324082136154175,6.54897141456604,6.734424829483032
multiple_gpu,4,16,poisson,500.0,8000,27.85539293289185,8000,0.0034819241166114,287.1975282945495,3.500404300332069,0.8788204193115234,5.99893856048584,5.552003383636475,5.776397466659546,5.946889400482178
multiple_gpu,4,32,constant,,8000,8.010042190551758,8000,0.0010012552738189,998.7462999179202,4.188503361582756,1.3681325912475586,7.092379570007324,6.513164758682251,6.7918901443481445,7.04933500289917
multiple_gpu,4,32,poisson,500.0,8000,28.575918674469,8000,0.0035719898343086,279.95600390434896,3.730278947860002,0.9072246551513672,6.5218892097473145,5.96690845489502,6.270310640335083,6.485328674316406
mps,4,1,constant,,8000,24.42110562324524,8000,0.0030526382029056,327.58549606309373,12.43167196816206,1.426659345626831,23.43397045135498,21.210570573806763,22.314277172088623,23.21671414375305
mps,4,1,poisson,500.0,8000,45.068514585495,8000,0.0056335643231868,177.50751436069623,12.005071074664592,0.937164545059204,23.036151885986328,20.79725956916809,21.92220568656921,22.813878774642944
mps,4,2,constant,,8000,19.988136768341064,8000,0.0024985170960426,400.237405452973,10.2413593403399,1.4242539405822754,19.03493070602417,17.369653940200806,18.150460243225098,18.877660751342773
mps,4,2,poisson,500.0,8000,40.2674663066864,8000,0.0050334332883358,198.6715513479328,9.6992392975986,0.9431462287902832,18.49457597732544,16.802694082260132,17.605329990386963,18.32430601119995
mps,4,4,constant,,8000,17.830249071121216,8000,0.0022287811338901,448.6757289867145,9.141960128962994,1.411916732788086,16.852288722991943,15.394521713256836,16.192628383636475,16.712727546691895
mps,4,4,poisson,500.0,8000,38.98222637176514,8000,0.0048727782964706,205.22173166062183,8.725940339297056,1.0009634494781494,16.498095989227295,14.942803382873535,15.727231979370115,16.365987062454224
mps,4,8,constant,,8000,16.52590847015381,8000,0.0020657385587692,484.0883643067608,8.48912155559659,1.3599720001220703,15.637775182724,14.22483730316162,14.946948289871216,15.521410703659058
mps,4,8,poisson,500.0,8000,37.97979140281677,8000,0.004747473925352,210.63833434868943,8.105668791025877,0.8957350254058838,15.974326372146606,14.571756839752195,15.26225233078003,15.852965354919434
mps,4,16,constant,,8000,15.447521209716797,8000,0.0019309401512145,517.8824415510653,8.026451866924763,1.4439210891723633,14.539090633392334,13.258118391036987,13.914719820022585,14.431170225143433
mps,4,16,poisson,500.0,8000,35.78986716270447,8000,0.004473733395338,223.52695425303384,7.389439394414425,0.957826852798462,13.810598850250244,12.547806024551392,13.195244550704956,13.742700815200806
mps,4,32,constant,,8000,15.47163200378418,8000,0.001933954000473,517.0753801566178,8.207841258466244,1.462571620941162,14.570661544799805,13.418683052062988,14.023962497711182,14.491806507110596
mps,4,32,poisson,500.0,8000,35.15993809700012,8000,0.004394992262125,227.53168614601648,7.095486192166805,1.0076215267181396,13.215409517288208,12.013814687728882,12.64228367805481,13.173797845840454
mps,8,1,constant,,8000,22.4794442653656,8000,0.0028099305331707,355.88068395114703,11.692497280418872,1.6318352222442627,21.50396656990052,19.538148641586304,20.523692846298218,21.314820289611816
mps,8,1,constant,,8000,37.16158199310303,8000,0.0046451977491378,215.27608812468625,18.876042201191183,1.366598129272461,36.21135330200195,32.75977396965027,34.497562885284424,35.876041650772095
mps,8,1,constant,,8000,17.2722647190094,8000,0.0021590330898761,463.1702981714616,8.849893038868904,1.36484956741333,16.329141855239868,14.805949211120604,15.578685522079468,16.19068193435669
mps,8,1,constant,,8000,18.017248153686523,8000,0.0022521560192108,444.018971807474,9.214885224580764,1.4252924919128418,17.048028707504272,15.50227117538452,16.29258894920349,16.899954319000244
mps,8,1,constant,,8000,17.603383541107178,8000,0.0022004229426383,454.45808649902506,9.051508981972932,1.3885173797607422,16.619306087493896,15.09847903251648,15.870512247085571,16.48088002204895
mps,8,1,constant,,8000,19.225865364074707,8000,0.0024032331705093,416.1061075018623,9.823867123574018,1.3967959880828855,18.2748019695282,16.55004096031189,17.416552305221558,18.10421466827393
mps,8,1,constant,,8000,21.7767174243927,8000,0.002722089678049,367.3648256572857,10.84028218781948,2.184920310974121,20.452730894088745,17.768755435943604,19.565972805023197,20.24734330177307
mps,8,1,constant,,8000,25.998842239379883,8000,0.003249855279922485,307.70600961155776,13.234443652480842,1.3895556926727295,25.036217212677002,22.656087398529053,23.849509477615356,24.800623655319214
